pcap_id,sample_hash,label,src_ip,dst_ip,src_port,dst_port,protocol,duration,total_bytes,total_packets,bytes_per_second,packets_per_second,pkt_len_mean,pkt_len_std,iat_mean,iat_std,burstiness,burst_count,is_complete_handshake,has_tls,tls_cipher_count,tls_ext_count,ja4_fingerprint,ja4_tls_ver_num,ja4_cipher_count,ja4_ext_count,ja4_sni_present,ja4_has_alpn,ja3_fingerprint,dns_query_count,dns_unique_queries,http_request_count,http_unique_hosts
1,b83529a86234f160e3741f79dcded9d61bfdd39f0d66311f727c9c8e36843ad6,trickbot,10.9.18.105,185.158.115.47,49171,447,TCP,9.01254,194,3,21.5256,0.3329,64.6667,1.8856,4.50627,1.499114,-0.500743,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0
1,b83529a86234f160e3741f79dcded9d61bfdd39f0d66311f727c9c8e36843ad6,trickbot,94.242.224.226,10.9.18.105,447,49170,TCP,0.0,60,1,60.0,1.0,60,0.0,0.0,0.0,0.0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0
1,b83529a86234f160e3741f79dcded9d61bfdd39f0d66311f727c9c8e36843ad6,trickbot,10.9.18.105,185.158.115.47,49172,447,TCP,9.030935,194,3,21.4817,0.3322,64.6667,1.8856,4.515468,1.505393,-0.499941,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0
1,b83529a86234f160e3741f79dcded9d61bfdd39f0d66311f727c9c8e36843ad6,trickbot,185.158.115.47,10.9.18.105,447,49171,TCP,0.0,60,1,60.0,1.0,60,0.0,0.0,0.0,0.0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0
1,b83529a86234f160e3741f79dcded9d61bfdd39f0d66311f727c9c8e36843ad6,trickbot,10.9.18.105,185.158.115.47,49173,447,TCP,9.015943,194,3,21.5174,0.3327,64.6667,1.8856,4.507972,1.498729,-0.500981,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0
1,b83529a86234f160e3741f79dcded9d61bfdd39f0d66311f727c9c8e36843ad6,trickbot,185.158.115.47,10.9.18.105,447,49172,TCP,0.0,60,1,60.0,1.0,60,0.0,0.0,0.0,0.0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0
1,b83529a86234f160e3741f79dcded9d61bfdd39f0d66311f727c9c8e36843ad6,trickbot,10.9.18.105,194.87.232.127,49174,447,TCP,80.429425,2821,38,35.0742,0.4725,74.2368,51.2909,2.173768,10.125621,0.646524,3,1,1,12,3,t10i120300_d94e65cdb899_5f12c91e28fe,10,12,3,0,0,6734f37431670b3ab4292b8f60f29984,0,0,0,0
1,b83529a86234f160e3741f79dcded9d61bfdd39f0d66311f727c9c8e36843ad6,trickbot,194.87.232.127,10.9.18.105,447,49174,TCP,77.723106,96462,78,1241.0981,1.0036,1236.6923,418.7018,1.009391,7.100684,0.751077,10,1,0,0,0,,0,0,0,0,0,,0,0,0,0
1,b83529a86234f160e3741f79dcded9d61bfdd39f0d66311f727c9c8e36843ad6,trickbot,10.9.18.105,194.87.144.27,49175,443,TCP,68.416074,27826,16,406.7173,0.2339,1739.125,3519.7752,4.561072,16.12715,0.559066,2,1,1,12,3,t10i120300_d94e65cdb899_5f12c91e28fe,10,12,3,0,0,6734f37431670b3ab4292b8f60f29984,0,0,0,0
1,b83529a86234f160e3741f79dcded9d61bfdd39f0d66311f727c9c8e36843ad6,trickbot,194.87.144.27,10.9.18.105,443,49175,TCP,68.180982,3957,33,58.0367,0.484,119.9091,162.4017,2.130656,11.274672,0.682118,2,1,0,0,0,,0,0,0,0,0,,0,0,0,0
1,b83529a86234f160e3741f79dcded9d61bfdd39f0d66311f727c9c8e36843ad6,trickbot,10.9.18.105,94.242.224.226,49176,447,TCP,9.019003,194,3,21.5101,0.3326,64.6667,1.8856,4.509501,1.496074,-0.501772,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0
1,b83529a86234f160e3741f79dcded9d61bfdd39f0d66311f727c9c8e36843ad6,trickbot,185.158.115.47,10.9.18.105,447,49173,TCP,0.0,60,1,60.0,1.0,60,0.0,0.0,0.0,0.0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0
1,b83529a86234f160e3741f79dcded9d61bfdd39f0d66311f727c9c8e36843ad6,trickbot,10.9.18.105,94.242.224.226,49177,447,TCP,9.015434,194,3,21.5187,0.3328,64.6667,1.8856,4.507717,1.496916,-0.501413,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0
1,b83529a86234f160e3741f79dcded9d61bfdd39f0d66311f727c9c8e36843ad6,trickbot,94.242.224.226,10.9.18.105,447,49176,TCP,0.0,60,1,60.0,1.0,60,0.0,0.0,0.0,0.0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0
1,b83529a86234f160e3741f79dcded9d61bfdd39f0d66311f727c9c8e36843ad6,trickbot,10.9.18.105,94.242.224.226,49178,447,TCP,9.014894,194,3,21.5199,0.3328,64.6667,1.8856,4.507447,1.497503,-0.501244,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0
1,b83529a86234f160e3741f79dcded9d61bfdd39f0d66311f727c9c8e36843ad6,trickbot,94.242.224.226,10.9.18.105,447,49177,TCP,0.0,60,1,60.0,1.0,60,0.0,0.0,0.0,0.0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0
1,b83529a86234f160e3741f79dcded9d61bfdd39f0d66311f727c9c8e36843ad6,trickbot,10.9.18.105,185.158.115.47,49179,447,TCP,9.014746,194,3,21.5203,0.3328,64.6667,1.8856,4.507373,1.498577,-0.500969,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0
1,b83529a86234f160e3741f79dcded9d61bfdd39f0d66311f727c9c8e36843ad6,trickbot,94.242.224.226,10.9.18.105,447,49178,TCP,0.0,60,1,60.0,1.0,60,0.0,0.0,0.0,0.0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0
1,b83529a86234f160e3741f79dcded9d61bfdd39f0d66311f727c9c8e36843ad6,trickbot,10.9.18.105,185.158.115.47,49180,447,TCP,9.016521,194,3,21.5161,0.3327,64.6667,1.8856,4.50826,1.499268,-0.50087,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0
1,b83529a86234f160e3741f79dcded9d61bfdd39f0d66311f727c9c8e36843ad6,trickbot,185.158.115.47,10.9.18.105,447,49179,TCP,0.0,60,1,60.0,1.0,60,0.0,0.0,0.0,0.0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0
