pcap_id,sample_hash,label,src_ip,dst_ip,src_port,dst_port,protocol,duration,total_bytes,total_packets,bytes_per_second,packets_per_second,pkt_len_mean,pkt_len_std,iat_mean,iat_std,burstiness,burst_count,is_complete_handshake,has_tls,tls_cipher_count,tls_ext_count,ja4_fingerprint,ja4_tls_ver_num,ja4_cipher_count,ja4_ext_count,ja4_sni_present,ja4_has_alpn,ja3_fingerprint,dns_query_count,dns_unique_queries,http_request_count,http_unique_hosts
28,Gamming,bengin,192.168.18.4,199.232.215.52,51972,443,TCP,30.67917,3752,44,122.298,1.4342,85.2727,110.8087,0.713469,4.567939,0.729819,2,1,1,32,13,t13d3213h2_85d9c3ed342d_e802cdec6a7f,13,32,13,1,1,07eb11020e4395f99e5ef70baf9c1d11,0,0,0,0
28,Gamming,bengin,192.168.18.4,103.10.125.41,53088,27159,UDP,898.98795,16402,31,18.245,0.0345,529.0968,560.9565,29.966265,50.273767,0.253084,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,192.168.18.4,103.10.124.119,53089,27055,UDP,898.281138,16402,31,18.2593,0.0345,529.0968,560.9565,29.942705,50.24335,0.253169,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,192.168.18.4,162.254.193.71,53090,27170,UDP,1.312134,2684,2,2045.5227,1.5242,1342.0,0.0,1.312134,0.0,-1.0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,192.168.18.4,185.25.183.179,53091,27043,UDP,897.171684,16402,31,18.2819,0.0346,529.0968,560.9565,29.905723,50.25125,0.253821,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,192.168.18.4,103.28.54.189,53092,27022,UDP,898.181147,16402,31,18.2613,0.0345,529.0968,560.9565,29.939372,50.259817,0.253375,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,192.168.18.4,155.133.238.194,53093,27018,UDP,898.080037,16402,31,18.2634,0.0345,529.0968,560.9565,29.936001,50.247349,0.253311,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,192.168.18.4,155.133.227.51,53094,27022,UDP,897.979948,16402,31,18.2654,0.0345,529.0968,560.9565,29.932665,50.27351,0.253607,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,192.168.18.4,155.133.252.84,53095,27015,UDP,895.657943,16402,31,18.3128,0.0346,529.0968,560.9565,29.855265,50.282228,0.254899,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,192.168.18.4,155.133.226.84,53096,27018,UDP,1.311234,2684,2,2046.9268,1.5253,1342.0,0.0,1.311234,0.0,-1.0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,199.232.215.52,192.168.18.4,443,51972,TCP,30.658106,304433,234,9929.9351,7.6326,1300.9957,301.9786,0.13158,1.983006,0.87555,2,1,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,155.133.226.84,192.168.18.4,0,0,ICMP,1.310411,1180,2,900.4809,1.5262,590.0,0.0,1.310411,0.0,-1.0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,155.133.252.84,192.168.18.4,27015,53095,UDP,895.657662,15457,31,17.2577,0.0346,498.6129,581.9924,29.855255,50.282579,0.254902,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
